,precision,recall,f1-score,support
1,1.0,0.9974424552429667,0.998719590268886,391.0
10,0.9998898132334306,0.9991741907068927,0.9995318738813163,18164.0
11,1.0,0.9906832298136646,0.9953198127925117,644.0
12,0.75,0.7346938775510204,0.7422680412371134,294.0
13,1.0,1.0,1.0,4.0
14,0.4206896551724138,0.46923076923076923,0.44363636363636366,130.0
2,0.999960943602562,1.0,0.9999804714199231,25603.0
3,0.9875060067275349,0.9990277102576568,0.9932334461092315,2057.0
4,0.999739507959479,0.9991611223604281,0.9994502314814815,34570.0
5,0.9914204003813155,0.994263862332696,0.9928400954653938,1046.0
6,0.9953488372093023,0.9935004642525533,0.9944237918215614,1077.0
7,0.9949664429530202,0.9991575400168492,0.9970575872215216,1187.0
8,1.0,1.0,1.0,2.0
9,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
accuracy,0.9974758147835071,0.9974758147835071,0.9974758147835071,0.9974758147835071
macro avg,0.9283331760272796,0.9309627199220254,0.9295431544627257,85176.0
weighted avg,0.9975641555374412,0.9974758147835071,0.9975165544075393,85176.0
